timestamp,device_id,operation_time,temperature,device_type
2021-01-02 22:00:00,15,1551,21,Type C
2021-01-02 23:00:00,10,1209,25,Type B
2021-01-03 00:00:00,10,1729,22,Type A
2021-01-03 01:00:00,4,1709,38,Type C
2021-01-03 02:00:00,13,1168,25,Type A
2021-01-03 03:00:00,11,1066,30,Type B
2021-01-03 04:00:00,17,1563,28,Type C
2021-01-03 05:00:00,9,1737,25,Type B
2021-01-03 06:00:00,2,1589,31,Type C
2021-01-03 07:00:00,3,908,31,Type B
2021-01-03 08:00:00,17,1872,34,Type C
2021-01-03 09:00:00,3,1950,20,Type C
2021-01-03 10:00:00,13,1987,27,Type B
2021-01-03 11:00:00,4,1369,36,Type A
2021-01-03 12:00:00,11,1622,29,Type A
2021-01-03 13:00:00,2,1565,23,Type C
2021-01-03 14:00:00,19,1094,34,Type B
2021-01-03 15:00:00,11,1135,25,Type C
2021-01-03 16:00:00,10,975,33,Type B
2021-01-03 17:00:00,4,1829,37,Type B
2021-01-03 18:00:00,10,1567,30,Type B
2021-01-03 19:00:00,11,1200,31,Type C
2021-01-03 20:00:00,8,1655,27,Type C
2021-01-03 21:00:00,10,1406,20,Type B
2021-01-03 22:00:00,8,1524,39,Type C
2021-01-03 23:00:00,12,1636,38,Type A
2021-01-04 00:00:00,17,1920,31,Type C
2021-01-04 01:00:00,6,1644,26,Type C
2021-01-04 02:00:00,11,1613,38,Type A
2021-01-04 03:00:00,19,1050,29,Type A
2021-01-04 04:00:00,7,924,26,Type C
2021-01-04 05:00:00,2,1119,22,Type B
2021-01-04 06:00:00,16,948,28,Type B
2021-01-04 07:00:00,18,1641,36,Type A
2021-01-04 08:00:00,12,1100,39,Type A
2021-01-04 09:00:00,9,1528,31,Type C
2021-01-04 10:00:00,18,1641,37,Type C
2021-01-04 11:00:00,17,1034,26,Type B
2021-01-04 12:00:00,3,1680,32,Type A
2021-01-04 13:00:00,4,1025,32,Type A
2021-01-04 14:00:00,5,1914,22,Type A
2021-01-04 15:00:00,7,1104,22,Type B
2021-01-04 16:00:00,3,1347,31,Type C
2021-01-04 17:00:00,1,1419,24,Type A
2021-01-04 18:00:00,4,1571,20,Type A
2021-01-04 19:00:00,11,1630,26,Type B
2021-01-04 20:00:00,18,1656,38,Type A
2021-01-04 21:00:00,3,1534,34,Type C
2021-01-04 22:00:00,8,939,33,Type A
2021-01-04 23:00:00,17,1433,31,Type A
2021-01-05 00:00:00,15,1020,35,Type B
2021-01-05 01:00:00,16,1918,29,Type C
2021-01-05 02:00:00,3,1588,30,Type B
2021-01-05 03:00:00,3,1368,39,Type B
2021-01-05 04:00:00,10,1569,22,Type C
2021-01-05 05:00:00,9,1952,27,Type A
2021-01-05 06:00:00,9,1586,36,Type C
2021-01-05 07:00:00,17,1496,38,Type C
2021-01-05 08:00:00,7,1926,22,Type C
2021-01-05 09:00:00,11,1472,37,Type B
2021-01-05 10:00:00,18,903,20,Type B
2021-01-05 11:00:00,6,1311,35,Type C
2021-01-05 12:00:00,9,905,26,Type A
2021-01-05 13:00:00,10,1876,38,Type C
2021-01-05 14:00:00,5,1156,22,Type B
2021-01-05 15:00:00,9,1036,36,Type C
2021-01-05 16:00:00,2,1286,21,Type C
2021-01-05 17:00:00,12,1866,23,Type C
2021-01-05 18:00:00,4,969,22,Type B
2021-01-05 19:00:00,2,1428,32,Type B
2021-01-05 20:00:00,17,1370,29,Type B
2021-01-05 21:00:00,1,1144,22,Type A
2021-01-05 22:00:00,3,937,35,Type C
2021-01-05 23:00:00,14,1971,37,Type C
2021-01-06 00:00:00,7,1674,39,Type C
2021-01-06 01:00:00,6,1975,25,Type B
2021-01-06 02:00:00,18,1107,39,Type A
2021-01-06 03:00:00,13,1875,36,Type C
2021-01-06 04:00:00,18,1264,31,Type B
2021-01-06 05:00:00,17,1395,20,Type A
2021-01-06 06:00:00,1,1224,32,Type B
2021-01-06 07:00:00,15,1240,26,Type C
2021-01-06 08:00:00,16,1522,21,Type C
2021-01-06 09:00:00,9,1287,32,Type C
2021-01-06 10:00:00,9,1514,25,Type A
2021-01-06 11:00:00,8,1146,29,Type B
2021-01-06 12:00:00,17,1189,25,Type B
2021-01-06 13:00:00,14,1912,24,Type B
2021-01-06 14:00:00,13,1380,27,Type A
2021-01-06 15:00:00,10,1933,30,Type C
2021-01-06 16:00:00,9,1141,35,Type B
2021-01-06 17:00:00,2,1349,35,Type B
2021-01-06 18:00:00,1,1692,31,Type B
2021-01-06 19:00:00,8,982,39,Type C
2021-01-06 20:00:00,1,1309,25,Type B
2021-01-06 21:00:00,4,1140,37,Type C
2021-01-06 22:00:00,4,1284,20,Type C
2021-01-06 23:00:00,12,1151,34,Type A
2021-01-07 00:00:00,1,909,28,Type B
2021-01-07 01:00:00,10,1064,28,Type B
2021-01-07 02:00:00,1,1632,24,Type A
2021-01-07 03:00:00,9,914,33,Type A
2021-01-07 04:00:00,17,1705,39,Type B
2021-01-07 05:00:00,12,1371,27,Type A
2021-01-07 06:00:00,6,1077,20,Type C
2021-01-07 07:00:00,18,1409,31,Type C
2021-01-07 08:00:00,3,1321,35,Type C
2021-01-07 09:00:00,16,1221,39,Type B
2021-01-07 10:00:00,10,1799,30,Type C
2021-01-07 11:00:00,16,1072,37,Type B
2021-01-07 12:00:00,2,917,28,Type C
2021-01-07 13:00:00,4,911,28,Type A
2021-01-07 14:00:00,8,1664,37,Type B
2021-01-07 15:00:00,17,1740,25,Type C
2021-01-07 16:00:00,4,1117,38,Type A
2021-01-07 17:00:00,14,1323,33,Type A
2021-01-07 18:00:00,8,1378,23,Type C
2021-01-07 19:00:00,10,1543,34,Type C
2021-01-07 20:00:00,12,1212,25,Type A
2021-01-07 21:00:00,15,999,28,Type B
2021-01-07 22:00:00,18,995,31,Type A
2021-01-07 23:00:00,12,1136,39,Type B
2021-01-08 00:00:00,10,1664,24,Type B
2021-01-08 01:00:00,9,1355,25,Type A
2021-01-08 02:00:00,8,1527,37,Type C
2021-01-08 03:00:00,1,1092,34,Type A
2021-01-08 04:00:00,15,1365,33,Type C
2021-01-08 05:00:00,7,963,20,Type C
2021-01-08 06:00:00,17,1703,34,Type B
2021-01-08 07:00:00,10,996,21,Type A
2021-01-08 08:00:00,5,1337,20,Type C
2021-01-08 09:00:00,11,945,33,Type B
2021-01-08 10:00:00,16,1286,33,Type A
2021-01-08 11:00:00,16,1523,24,Type C
2021-01-08 12:00:00,17,1523,32,Type C
2021-01-08 13:00:00,3,1250,36,Type A
2021-01-08 14:00:00,18,1401,30,Type B
2021-01-08 15:00:00,1,1551,32,Type C
2021-01-08 16:00:00,10,1421,38,Type A
2021-01-08 17:00:00,6,968,30,Type B
2021-01-08 18:00:00,1,1087,38,Type A
2021-01-08 19:00:00,12,1514,34,Type C
2021-01-08 20:00:00,6,1186,26,Type A
2021-01-08 21:00:00,8,1656,22,Type B
2021-01-08 22:00:00,3,1259,33,Type A
2021-01-08 23:00:00,16,1280,22,Type C
2021-01-09 00:00:00,14,1808,38,Type C
2021-01-09 01:00:00,1,1903,29,Type B
2021-01-09 02:00:00,8,1172,35,Type B
2021-01-09 03:00:00,9,1620,27,Type B
2021-01-09 04:00:00,10,1909,34,Type B
2021-01-09 05:00:00,3,1582,32,Type B
2021-01-09 06:00:00,15,1784,39,Type C
2021-01-09 07:00:00,18,1590,33,Type A
